id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
185;"Au pays de Savoie";"François Gos";7.49;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1926;"FeniXX";"f-tydwaaqbaj.jpeg";32
186;"Le Léman et sa vie microscopique";"Jean-Claude Druart";30.99;"Depuis la parution de l'ouvrage Le Léman. Monographie limnologique, dans les années 1900, ce livre constitue la première synthèse sur l’évolution à long terme des connaissances sur ses micro-organismes planctoniques et les modifications de certains paramètres physico-chimiques. Ces données servent d’ailleurs de base de réflexion à la Commission internationale pour la protection des eaux du Léman contre la pollution (Cipel) pour son évaluation qualitative annuelle. Avant tout destiné à des scientifiques, (hydrobiologistes, écologues,...), cet ouvrage intéressera néanmoins tout public désireux d’en savoir davantage sur l’histoire géologique du Léman, l’évolution de la qualité de ses eaux et la place qu’il occupe parmi les autres lacs...";1;2007;"Quae";"ofyjcwaaqbaj.jpeg";44
187;"EVIAN-LES-BAINS ET 50 KM AUTOUR 2021 Petit Futé";"Dominique Auzias";0;"Le guide Petit Futé d'Evian-les-Bains et 50 km autour est l'indispensable de vos week-ends et de vos vacances, à tout petit prix. Notre équipe d'auteurs locaux a déniché bons plans et meilleures adresses pour se loger, visiter et un grand choix d'activités et d'expériences, à faire seul ou en famille ! Sans oublier les bonnes tables d'Evian-les-Bains, des pauses gourmandes et les adresses de producteurs locaux pour découvrir les merveilles du territoire.";1;2021;"Le Petit Futé";"s6szeaaaqbaj.jpeg";8
188;"La Quatrième Personne du singulier";"Valère Novarina";9.99;"Ensemble – plus que recueil – de neuf textes, La Quatrième Personne du singulier fait partie de ces livres 'théoriques' (mais tout aussi lyriques que théoriques) grâce auxquels Valère Novarina fait régulièrement le point sur son travail. Ici, les thèmes recoupent et prolongent ceux des précédents ouvrages de même registre (Le Théâtre des paroles, Lumières du corps, L'Envers de l'esprit). Avec peut-être un peu plus d’emportement, qu'il s'agisse de parler de la langue, française mais aussi hongroise, et du patois aussi bien, du théâtre toujours, de l'acteur, du sacré.";1;2012;"POL Editeur";"ikmbdwaaqbaj.jpeg";24
189;"1000 idées de vacances en France";"LONELY PLANET FR";9.99;"1000 idées de vacances en France, un livre totalement réactualisé en 2020, pour inspirer chacun dans le choix de ses vacances. Des chapitres thématiques où piocher selon ses envies : où partir avec des ados, où dormir en pleine nature, les plus belles côtes sauvages, où partir en rando en famille, dix îles inconnues à découvrir, les plus beaux itinéraires à vélo, les plus belles forêts où se promener... Du patrimoine : châteaux, églises, musées, monuments... la France regorge de richesses parfois célèbre, parfois secrètes. Des activités : sports d'eaux vives (les plus belles rivières où faire du cayak..), de la rando, du vélo, du parapente, du surf... les endroits les plus incroyables pour pratiquer un sport tout en découvrant la France. Des lieux hors des sentiers battus, pour des vacances plus proches de la nature : des coins de campagne secrets où se ressourcer, des parcs naturels où observer les animaux, des lacs où buller loin des hordes de touristes, les côtes les plus sauvages... Un livre tout en couleurs et richement illustré de photos.";1;2020;"Lonely Planet";"mn7ndwaaqbaj.jpeg";6
190;"Le tour de Savoie par deux enfants";"Marie-Thérèse Hermann";8.49;"Sur le modèle du 'Tour de France par deux enfants', livre-phare pour des générations d’écoliers, Marie-Thérèse Hermann a imaginé un voyage à travers la Savoie de 1830. Cet itinéraire, fictif mais nourri aux sources d’une abondante documentation d’époque, conduit deux enfants à parcourir les différentes provinces de Savoie. Mais, très vite, ce voyage prend les allures d’une quête initiatique. Chemin faisant, le regard neuf et toujours curieux de nos deux enfants leur permet d’accéder au cœur secret d’un pays, dont chaque province est un repli, chaque vallée une facette, chaque village un recoin à l’abord mystérieux. Cette terre si variée n’a qu’une âme, qui vibre à l’unisson avec chacun de ses paysages, dont l’infinie subtilité se décline des crépuscules sur les ardoises de Maurienne aux verts pâturages du Chablais. Dépêchons-nous d’y goûter ! 1860 n’est pas loin et rien ne sera plus comme avant ! Pour écrire ce livre d’amour et d’imagination, Marie-Thérèse Hermann s’est ressourcée dans sa propre expérience, ses multiples déplacements aux quatre coins de la Savoie, ses découvertes et ses rencontres. Saisie du même émerveillement que ces deux enfants, elle se souvient de la richesse de ses premières impressions quand monte la petite musique du terroir natal. Et c’est au terme de ce voyage que nous est révélé le sens ultime de cette quête : Et si, plus de cent trente ans après l’Annexion, sous l’écorce du béton, des autoroutes et du tourisme, le cœur de la Savoie battait encore ?“";1;2001;"FeniXX";"dz0jeaaaqbaj.jpeg";38
191;"Monographie illustrée de Montriond-le-Lac, anciennement Chéravaux, et de la haute vallée d'Aulps en Savoie";"Victor Burin";6.99;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1974;"FeniXX";"ys52dwaaqbaj.jpeg";0
192;"Les risques naturels en montagne";"Didier Richard";29.99;"Aussi fascinante qu’elle puisse être, la montagne n’en est pas moins dangereuse. Avalanches, risques glaciaires, crues et laves torrentielles, mouvements de pente et chutes de blocs font partie du vécu de tout habitant ou pratiquant de la montagne. Le développement économique, dont le tourisme qui attire en montagne des populations peu conscientes des dangers, accroît l’exposition aux risques. La catastrophe du camping du Grand-Bornand et ses 23 victimes en 1987, ou encore l’avalanche de Montroc en 1999 qui causa la mort de 12 personnes, en sont de frappantes illustrations. En toile de fond de l’ouvrage se profilent également le problème du changement climatique et le défi qu’il constitue pour les territoires de montagne plus sensibles aux variations de température que le reste du territoire national métropolitain. Cet ouvrage apporte au lecteur, simple amateur ou passionné de montagne, du grand public au décideur, une meilleure connaissance de ces phénomènes, des techniques de protection pour s’en prémunir, des recherches en cours et de leurs limites... Il a été rédigé par les meilleurs spécialistes du domaine afin de renforcer la prise de conscience des risques et des actions de prévention par les différents acteurs de la montagne. Schémas pédagogiques, photos prises sur le vif et témoignages en font un ouvrage de référence sur les risques naturels dans tous les massifs montagneux européens.";1;2015;"Quae";"7wedcwaaqbaj.jpeg";25
193;"Étienne et les mathématiques";"Amé de Viry";6.49;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1957;"FeniXX";"ysmbdwaaqbaj.jpeg";9
194;"Chronique de Morzine";"Jacques-Alexis Pissard";14.99;"Chronique publiée entre 1912 et 1926 dans les bulletins paroissiaux par l'abbé Jacques Alexis Pissard.";1;2008;"Richard Jean-Christophe";"v3rudqaaqbaj.jpeg";60
195;"Toutes les chances plus une";"Christine Arnothy alias William Dickinson";10.99;"Lisa a vingt et un ans. Elle a connu Laurent Jay, député, lors d'une réunion internationale à Genève, où elle travaillait comme interprète. Laurent Jay, ambitieux, séduisant, charmeur, se trouve, à cause du départ de sa femme - coéquipière intelligente dans un mariage de raison -, disponible, juste quelques mois avant la campagne électorale. Il croit installer Lisa provisoirement dans sa vie, c'est elle qui s'installe dans la conscience de Laurent. Pendant que Laurent est porté vers le Pouvoir par l'indéfinissable volonté de la France, il tente d'apprendre, d'une fille de vingt et un ans, ce que veut dire : oser vivre. Christine Arnothy analyse d'une manière superbe les relations d'un homme, devenu une 'bête politique', avec le monde qui l'entoure : sa femme, ses conseillers, l'opinion publique et surtout lui-même, amoureux fou d'un pouvoir à conquérir. Il y a aussi la panique d'aimer, la crainte d'éprouver un vrai sentiment : l'amour rend dépendant comme l'argent. {Toutes les chances plus une} n'est pas seulement le roman d'un couple lié par l'ambition mais aussi celui d'une fille d'aujourd'hui, libre, équilibrée, courageuse et qui lutte pour le bonheur comme une pionnière.";1;2014;"Grasset";"v_quj37wnh4c.jpeg";100
196;"Les Savoies";"Jean-Pierre Leguay";5.49;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1993;"FeniXX";"we8teaaaqbaj.jpeg";12
197;"United Emmerdements of New Order/United Problems of Coût de la Main-d'Œuvre";"Jean-Charles Massera";10.99;"United Emmerdements Of New Order nous apprend qu'un navire battant pavillon savoyard s'est échoué, dans la nuit, sur la plage de Cully près de Lausanne (Canton de Vaud) avec quelque 800 clandestins tyroliens, hommes, femmes et enfants entassés dans ses cales depuis plusieurs jours dans des conditions inhumaines. Pire, United Emmerdements Of New Order analyse les raisons qui ont poussé les autorités suisses à créer des camps de réfugiés pour les touristes d'origine française depuis la fermeture du tunnel du Mont-Blanc. United Emmerdements of New Order nous met dans de sales situations sur le plan international et humanitaire, celles que nous ne voulons pas voir ou que nous ignorons. United Emmerdements of New Order peut aussi se lire comme un recueil de lois mis à l'épreuve des faits. De l'esprit et des intérêts qui sont à l'origine de certaines lois, de certains codes, de certains réglements, United Emmerdements of New Order ne retient que quelques dispositions et les réécrit jusqu'à ce qu'elles nous disent ce qu'elles ne peuvent jamais nous avouer. United Emmerdements of New Order fait parler la loi. United Emmerdement of New Order dramatise le processus de construction des certitudes de la petite bourgeoisie planétaire, de la propagande et de la connerie. United Emmerdement of New Order travaille la petitesse et la mesquinerie des aspirations occidentales, la réduction de nos faits et gestes à une partition écrite soit par des intérêts qui ne sont pas les nôtres (les intérêts économiques) soit par une incapacité à penser au-delà et en dehors de notre espace familier (la réduction du monde à mon canton). United Emmerdements of New Order fait de l'entrisme. Mais United Emmerdements of New Order est ouvert aux amendements et aux contrevenants. United Emmerdements of New Order est le récit d'une dépossession. En résumé, United Emmerdements of New Order ne fait que dramatiser le lent processus de basculement de la petite bourgeoisie planétaire dans la barbarie. United Emmerdement of New Order nous promet une belle fin.";1;2011;"POL Editeur";"q0slxleahmic.jpeg";48
198;"Le Biot, au cœur du Chablais";"Francis Morand";5.49;"La vallée d’Aulps, reliant Thonon à Morzine, constitue l’un des sites les plus pittoresques des régions savoyardes. À quelque vingt kilomètres du lac Léman, la vallée s’élargit en un vaste bassin dont les pentes exposées au soleil abritent de pittoresques villages alpestres. Sur le versant Est, à l’écart de la route nationale, le village et les hameaux du Biot sont timidement blottis au flanc de la montagne, au milieu d’une nature verdoyante, havre de calme et de soleil. Francis Morand vous en dresse le portrait.";1;1969;"FeniXX";"rs52dwaaqbaj.jpeg";18
199;"François de Sales, le gentilhomme de dieu";"Patrick de GMELINE";19.99;"Une biographie vivante de la plus grande figure de l'Eglise catholique au temps de la Contre-Réforme. Né dans une famille d'ancienne noblesse savoyarde, François de Sales (1567-1622), personnalité majeure de l'Eglise catholique tant par son action au temps des guerres de Religion que par l'héritage qu'il a laissé, choisit très jeune sa voie. Ordonné en 1593, il est rétablit le catholicisme dans la région de Genève alors sous la coupe des protestants. Ordonné évêque de Genève en 1602, il siège en exil à Annecy. En 1610, il fonde avec Jeanne de Chantal l'Ordre de la Visitation, dont les visitent pauvres et malades. Personnalité charismatique, réputé pour sa douceur, redoutable argumentateur, humaniste et organisateur hors pair, il a laissé une œuvre spirituelle considérable : Introduction à la vie dévote (1608), Traité de l'amour de Dieu (1615), et une correspondance importante. Canonisé dès 1665 (fêté le 24 janvier), docteur de l'Eglise (1877), il est l'auteur catholique le plus publié dans le monde. Patrick de Gmeline restitue avec son talent de conteur cette vie riche et foisonnante. Une biographie illustrée par une centaine de documents, le portrait d'un homme profondément attachant dans une époque troublée.";1;2018;"Presses de la Cité";"jxngdwaaqbaj.jpeg";50
200;"La Grande-Chartreuse, le Mont-Blanc et l'hospice du Grand-Saint-Bernard";"Louis-Dominique-Laurent Audiffret";3.49;"Départ de Grenoble — Voreppe — Saint-Laurent-le-Pont — Aspect général de la Grande-Chartreuse — Notions sur le Monastère. J’étais arrivé à Grenoble le 22 août 1841. Le lendemain, à 9 heures du matin, j’en sortais par un temps affreux, me dirigeant vers Saint-Laurent le-Pont, petit village situé à l’entrée des montagnes au sein desquelles se cache le monastère de la Grande-Chartreuse. Ma femme bravait à mes côtés une pluie dont le toit en saillie de notre prison roulante ne nous garantissait que fort imparfaitement. Fruit d’une sélection réalisée au sein des fonds de la Bibliothèque nationale de France, Collection XIX a pour ambition de faire découvrir des textes classiques et moins classiques dans les meilleures éditions du XIXe siècle.";1;2016;"Collection XIX";"utsodwaaqbaj.jpeg";3
201;"Terrain erratique alluvien du bassin du Léman et de la vallée du Rhône";"Rodolphe Blanchet";3.49;"Après avoir étudié les terrains alluviens du bassin du Léman, j’ai désiré suivre ces dépôts jusques à la mer. La réunion de la société géologique de France à Chambéry, m’a décidé à passer par cette ville ; j’ai visité l’un de ses dépôts alluviens, situé à une demi-lieue de la ville, à l’endroit où l’on prend le chemin qui monte au Désert ; il a tous les caractères des dépôts que j’ai observés dans le canton de Vaud ; la rivière est à droite en montant, l’alluvion à gauche, elle est en grande partie formée de débris alpins avec blocs erratiques rayés et polis ; une marne rougeâtre, qui paraît provenir des montagnes voisines, constitue la partie supérieure du dépôt. Fruit d’une sélection réalisée au sein des fonds de la Bibliothèque nationale de France, Collection XIX a pour ambition de faire découvrir des textes classiques et moins classiques dans les meilleures éditions du XIXe siècle.";1;2015;"Collection XIX";"accxdgaaqbaj.jpeg";30
202;"HAUTE-SAVOIE 2018 Petit Futé";"Dominique Auzias";4.99;"Eté comme hiver, la Haute Savoie offre une diversité d'activités sportives et de loisirs qui vous seront toutes indiquées : montagne et nature, avec bien sûr le Massif du Mont Blanc et ses nombreux alpinistes et grimpeurs, un tourisme vert qui attire les amateurs de golf, VTT, randonnées pédestres; les plaisirs autour de l'eau avec les lacs d'Annecy (le plus pur d'Europe) et Léman pour les plaisirs nautiques et les vues panoramiques; la remise en forme avec les stations thermales d'Evian et Thonon Les Bains qui attirent de nombreux touristes; les sports d'hiver avec 4 grands domaines skiables et 49 stations de sports d'hiver pour le département; Enfin, le tourisme d'affaire connaît une forte progression grâce notamment aux infrastructures.";1;2017;"Le Petit Futé";"f5i9dwaaqbaj.jpeg";12
203;"Saint François de Sales";"Idesbald van Houtryve";4.99;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1954;"FeniXX";"n5gxeaaaqbaj.jpeg";70
204;"Du Léman au Mont Blanc";"Jean-François Tanghe";5.49;"“Du Léman au Mont Blanc”... Le Chablais et le Faucigny offrent, dans cet ouvrage, beaucoup de ce qu’ils recèlent de particulier et d’intime. Leurs paysages, leurs maisons, leurs villages, leurs églises, s’ancrent dans une histoire et dans une civilisation parfois différentes, parfois communes. Les hommes et les femmes qui habitent ces “pays”, gens du cru fiers du village qui les a vu naître, ou “étrangers” attirés par la qualité du cadre de vie, ont su accompagner cette région dans son renouveau, sans perdre de sa vérité. Premier ouvrage de la collection “Photo & Graphies” s’ouvrant sur la Haute-Savoie, “Du Léman au Mont Blanc”, sera suivi de celui consacré à la région courant du Rhône aux Aravis, en passant par Annecy et son lac.";1;1994;"FeniXX";"37wkeaaaqbaj.jpeg";36
205;"La route des Alpes françaises";"Henri Ferrand";0.99;"'La route des Alpes françaises', de Henri Ferrand. Publié par Good Press. Good Press publie un large éventail d'ouvrages, où sont inclus tous les genres littéraires. Les choix éditoriaux des éditions Good Press ne se limitent pas aux grands classiques, à la fiction et à la non-fiction littéraire. Ils englobent également les trésors, oubliés ou à découvrir, de la littérature mondiale. Nous publions les livres qu'il faut avoir lu. Chaque ouvrage publié par Good Press a été édité et mis en forme avec soin, afin d'optimiser le confort de lecture, sur liseuse ou tablette. Notre mission est d'élaborer des e-books faciles à utiliser, accessibles au plus grand nombre, dans un format numérique de qualité supérieure.";1;2021;"Good Press";"6mm8eaaaqbaj.jpeg";125
206;"Corpus de textes : composer, mesurer, interpréter";"Émeline Comby";11.99;"Les questionnements épistémologiques, théoriques et méthodologiques sur les corpus, notamment de textes, irriguent les humanités et les sciences humaines et sociales. Au sein de cette réflexion, les trois étapes essentielles de la composition, de la mesure et de l’interprétation des corpus sont distinguées même si, en pratique, elles sont imbriquées selon des logiques circulatoires. Quels sont les critères, théoriques mais aussi bien souvent pratiques, qui déterminent la constitution d’un corpus de recherche ? Quels outils et logiciels permettent de l’exploiter au mieux ? Comment arriver à faire la part entre domaine quantitatif et domaine qualitatif ? Dans cet ouvrage, des chercheurs issus de différentes disciplines se côtoient, afin de porter sur le même objet des regards différents : le corpus apparaît tantôt comme terrain de recherche, tantôt comme espace d’exploration méthodologique, tantôt comme objet de réflexions théoriques. L’approche interdisciplinaire, appuyée sur des retours d’expérience variés, permet ainsi de partager réflexions, méthodes et outils (notamment par une comparaison entre les différentes offres logicielles) au sein d’une réflexion commune qui intéressera toute personne confrontée à la notion de corpus, que ce soit en « débutant » ou en « utilisateur confirmé ».";1;2016;"ENS Éditions";"vi-1dqaaqbaj.jpeg";68
207;"Passions alpines";"Sandro Guzzi-Heeb";9.99;"Les régions de montagne ont souvent été perçues comme des terres pauvres, peuplées de gens arriérés, en marge en quelque sorte de la « grande » histoire ; plutôt un terrain d’étude pour les anthropologues, à la recherche de structures primitives, que pour les historien·nes. En utilisant des approches et des outils originaux, cet ouvrage en propose une image très différente. Au centre de cette recherche, les vallées latérales du Valais participent en effet aux grands mouvements qui agitent l’Europe du XVIIIe et XIXe siècles, et parfois même les anticipent. On est certes loin des salons parisiens, des parlements et des universités prestigieuses, mais les grandes questions religieuses, politiques et culturelles – rôle de l’Église, éducation, libertés, droits individuels et collectifs... – passionnent et divisent les communautés locales. Cela ne devient visible qu’au travers de l’analyse de nombreux conflits locaux qui engendrent l’émergence de factions et de partis politiques, révélant d’étonnantes continuités de la fin du XVIIe au début du XXe siècle. Les fronts sont influencés par l’opposition de groupes parentaux, mais les factions – et cela est fondamental – se structurent également autour d’idées et de valeurs partagées, qui façonnent les identités, les solidarités et les réseaux sociaux. Cette perspective, qui s’intéresse plus aux comportements sociaux qu’aux discours officiels, fait émerger des acteurs qui ont souvent échappé à l’histoire politique classique : les paysans et éleveurs, les travailleurs des couches populaires et parmi eux les femmes. Elle révèle enfin un aspect insoupçonné : dans les luttes pour le pouvoir et pour des valeurs sociales et culturelles, les attitudes et les comportements sexuels jouent un rôle central et jusqu’à présent négligé.";1;2019;"Presses universitaires de Rennes";"waacdwaaqbaj.jpeg";55
208;"Paysans des Alpes";"Fabrice Mouthon";8.99;"De manière vivante et claire, cet essai fait la synthèse de plusieurs centaines de publications savantes en quatre langues, à la lumière des acquis récents de l’histoire rurale en Europe. Il met ainsi au jour un des éléments méconnus de l’identité européenne, l’humanisation au Moyen Âge des Alpes par une paysannerie laborieuse, organisée en communauté. Les sources documentaires permettent de bien connaître cette économie agro-pastorale et de reconstituer les processus communautaires extrêmement élaborés qui régulent l’exploitation des alpages et la répartition des ressources naturelles. Jamais au Moyen Âge les Alpes n’ont été immobiles, ni fermées sur elles-mêmes.";1;2010;"Presses universitaires de Rennes";"5vescwaaqbaj.jpeg";24
209;"Notre-Dame d'espérance";"Patrick CHAUVET";13.99;"Le 15 avril 2019, Notre-Dame de Paris, la cathédrale la plus connue au monde et qui accueille des millions de visiteurs chaque année, a été dévastée par un terrible incendie. Monseigneur Chauvet a vu sa cathédrale partir en flammes au moment où il terminait l'écriture de ce livre dans lequel il raconte son rapport intime et son attachement à ce monument aimé de tous les Français. Il expose sa mission pastorale de recteur archiprêtre de Notre-Dame, une charge méconnue du grand public. Après avoir retracé les grandes heures de ce haut lieu, il propose une réflexion sur la transmission, l'adaptation de la parole des Évangiles, le lien entre culture et patrimoine, et le rapport entre les arts et le sacré auquel il est très attaché. Bien plus que celui d'un simple administrateur, son quotidien est aussi celui d'un patron d'une PME en charge d'un monument historique du patrimoine mondial, d'un diplomate et même d'un politique, recevant les grands de ce monde lors de leurs visites officielles. ' Puisse la lecture de ce livre vous faire entrer dans ce beau mystère qu'est Notre-Dame. Ce que nous avons vécu avant le drame, nous le revivrons rapidement, j'en suis convaincu, et je me donnerai à fond pour que la cathédrale soit toujours aussi belle et vivante. '";1;2019;"Presses de la Renaissance";"0amxdwaaqbaj.jpeg";63
210;"Hydrologie continentale";"Claude Cosandey";29.99;"Au cœur des problématiques environnementales, l’eau est une ressource parfois très rare dont les besoins sont en constante augmentation face à l’accroissement de la population mondiale et de son niveau de vie. Comment prévoir la surabondance de l’eau en période de crues ou d’inondations ? Crues rapides comme celles qui résultent de deux ou trois jours d’averses cévenoles, ou crues lentes résultant d’une année ou plus de précipitations plus abondantes que d’ordinaire dans le cas de la Somme ou de la Seine ? Comment assurer la qualité de l’eau potable et minimiser les risques de pollution des nappes sans connaître les processus d’infiltration de l’eau dans le sol ? Comment estimer les effets d’un reboisement sur les ressources en eau si l’on ne tient pas compte des processus d’interception de l’eau par la végétation ? Fondé sur une approche essentiellement naturaliste, ce manuel permet de comprendre et de quantifier le cheminement de l’eau, de son apport au sol sous forme de précipitations à son retour dans l’atmosphère à l’état gazeux par le processus d’évaporation. Cette connaissance indispensable permet de prévenir et de gérer les risques pouvant résulter des aménagements humains. Cet ouvrage de référence, qui porte principalement sur les milieux tempérés, est destiné aux étudiants de géographie et de géologie de surface, et plus largement à l’ensemble des acteurs de l’environnement. Claude COSANDEY est géographe, directrice de recherches émérite au CNRS. Mark ROBINSON est Principal Scientific Officer au Centre pour l’écologie et l’hydrologie de Wallingford. Ses travaux portent sur l’hydrologie forestière, le drainage et l’évolution à long terme des bassins versants.";1;2012;"Armand Colin";"ma4r05clfcsc.jpeg";32
211;"Bonheurs et Grandeur";"Hervé GAYMARD";15.99;"Treize jours où les Français ont forgé la France... Une leçon d'histoire qui invite à refonder notre nation pour réenchanter l'avenir. Ernest Renan définit la nation comme une âme, un principe spirituel, matrice d'un plébiscite de tous les jours reposant sur une histoire commune. Hervé Gaymard est parti à sa recherche à travers le récit de treize grandes journées qui ont forgé la France, constituant son identité et sa destinée singulières. Conjuguant la verve du passionné d'histoire avec l'expérience du politique, il offre des tableaux originaux et enlevés de ces moments charnières qui sont autant de jalons fondateurs au service d'un idéal partagé. A rebours du déclinisme à la mode, l'auteur prend le parti de raconter ce qui nous a unis depuis la fin des guerres de Religion et la fondation de la monarchie administrative : espoir révolutionnaire, gloire et ordre consulaires ; enracinement politique et social de la République ; foi dans le progrès ; quête de la paix ; recherche permanente de la grandeur et de la victoire, militaire puis sportive. Au final, une histoire positive de la France, sans précédent et qui fera date, car elle invite au sursaut par la réconciliation et le dépassement. Une illustration du bel exorde de Clemenceau prononcé pour célébrer l'armistice de novembre 1918 et encourager la France à retrouver ' sa place dans le monde pour poursuivre sa course magnifique dans l'infini du progrès humain, autrefois soldat de Dieu, aujourd'hui soldat de l'humanité, toujours soldat de l'idéal '.";1;2015;"Perrin";"lpsecgaaqbaj.jpeg";125
212;"Introduction à la géohistoire";"Christian Grataloup";12.99;"La « géohistoire », expression née sous la plume de Fernand Braudel, s’intéresse aux interactions entre les dimensions géographique et historique pour proposer une analyse des sociétés sur le temps long et à différentes échelles. À l’ère de la mondialisation, le croisement des perspectives spatiales et temporelles prend toute son importance et devient presque une nécessité. Ce manuel pédagogique propose une mise au point simple et critique sur les outils d’interface entre histoire et géographie. Assortie de cartes originales et de nombreuses définitions, cette introduction, première du genre, révèle toute la fécondité de l’approche géohistorique.";1;2015;"Armand Colin";"sho0bgaaqbaj.jpeg";76
213;"Communautés d’habitants au Moyen Âge";"Collectif";20.99;"La formation des communautés d’habitants (sous une forme villageoise ou urbaine, groupée ou non) est un phénomène clé qui a touché l’ensemble de l’Occident latin à partir du xie siècle. Son étude a connu une certaine vogue dans le dernier quart du xxe siècle, dans divers pays d’Europe, où l’on s’est toutefois appuyé sur des présupposés notionnels et méthodologiques très variables qui ont abouti à des résultats intéressants mais peu articulés. Le travail collectif mené dans le cadre du LaMOP (Paris 1) a visé à dépasser l’hétérogénéité des points de vue, à l’aide d’hypothèses de travail spécifiques. En particulier, il s’est agi de prendre au sérieux le fait social qu’est « l’habiter », impliquant entre autres que la cohésion des communautés reposait moins sur des rapports de parenté que sur l’idée d’appartenance commune à un lieu. Cet attachement se fondait quant à lui sur la définition d’un certain nombre de ressources réservées et liées à l’habitat lui-même, d’une part, et sur la définition de pôles d’attraction durable et eux aussi monopolistiques : les églises paroissiales et leur cimetière. Avec ces deux référents que sont l’habitat et la paroisse, le statut dépendant des tenanciers paysans passe à l’arrière-plan : les agriculteurs dépendants ne sont donc plus pensés par rapport à leurs seigneurs mais par rapport à leur lieu de résidence et de culte. Les dépendants sont ainsi transformés en habitants, et les communautés d’habitants peuvent donc être considérées comme des formes d’enchantement, de la domination sociale, contribuant ainsi à la reproduction à long terme du système seigneurial.";1;2020;"Éditions de la Sorbonne";"l-zbdwaaqbaj.jpeg";4
214;"L'écotourisme";"Jean-Marie Breton";23.99;"A l'heure où la Guadeloupe et les départements français d'Amérique (DFA) s'interrogent sur leur devenir, les problématiques touristique et environnementale apparaissent de plus en plus présentes, dans le débat socio-économique aussi bien qu'à travers sa médiatisation, et interpellent la plupart des acteurs de la vie collective, décideurs et opérateurs, élus et populations. Le tourisme est ainsi fréquemment présenté comme une alternative d'impulsion et de financement du développement, au point d'en générer une expansion aussi difficilement maîtrisable qu'incohérente, au détriment d'un patrimoine environnemental insulaire d'une diversité et d'une richesse exceptionnelles. Bien commun de tous et ancrage des cultures comme des identités, celui-ci en subit des atteintes et des agressions particulièrement graves, en termes de dégradations multiples, voire de destructions irréversibles. La soumission dès lors nécessaire et incontournable de l'activité touristique aux exigences de protection, de conservation et de gestion valorisante et reproductible de la biodiversité et du patrimoine naturel, historique et culturel, à travers sa compatibilité et sa mise en cohérence avec les réglementations protectrices de l'environnement, est de nature à générer des approches, des stratégies et des comportements nouveaux, en matière de politiques publiques comme de gestion opérationnelle, favorables tant à un développement durable des sociétés qu'à l'optimisation du cadre et de la qualité de vie des hommes. La démarche écotouristique répond à ces préoccupations, et constitue un défi stimulant pour les opérateurs du tourisme comme pour les acteurs de l'environnement, voire une opportunité de ' réappropriation ' de leur milieu de vie par les populations autochtones. Il convient alors d'en clarifier le concept, d'en approfondir les éléments et les implications, d'en déterminer les objectifs et les enjeux, d'en identifier les contraintes et les atouts, d'en cerner les perspectives. C'est à jeter les bases d'une telle réflexion qu'ont été conviés les divers intervenants et participants de ces premières ' journées ' internationales sur l'Ecotourisme. Le présent ouvrage regroupe, outre leurs communications et les débats de la table ronde à laquelle elles ont donné lieu, des contributions complémentaires dues à des spécialistes des aspects juridiques, économiques et politiques des questions abordées à cette occasion.";1;2001;"KARTHALA Editions";"kpsowaanvkqc.jpeg";0
215;"L'allée des hêtres";"Paule Marie Duquesnoy";11.99;"Un calendaire défini en fonction du saint fêté ce jour-là, dont la vie présentée d'après les affinités entretenues avec lui, est mise mise en regard avec les nouvelles du jour, rapportées sur le mode de la confidence, une manière de journal intime.";1;2017;"Librairie éditions tituli";"whhadwaaqbaj.jpeg";55
216;"Histoire d'un ruisseau";"?lis?e Reclus";3.62;"Essai sur l'eau sous toutes ses formes liquides, sur ses usages et ses symboles.";1;1882;"Рипол Классик";"vgstawaaqbaj.jpeg";0
