id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
141;"« Ces mystérieux accords parfaits »";"Jean-Louis Leleu";9.99;"À l’inverse de la pratique courante consistant à diviser en compartiments la production de Schönberg, l’objectif des trois « études » présentées ici est de faire ressortir l’unité et la continuité de sa pensée et de sa poétique musicales, quelles que soient les périodes auxquelles appartiennent les œuvres. Il y a chez Schönberg une façon de concevoir l’interaction des dimensions verticale (harmonique) et horizontale (mélodique) au sein du tissu contrapuntique, et une façon de faire découler l’unité de la composition (ce qu’il désigne par le terme de Zusammenhang) de la mise en place d’un dense réseau de relations motiviques, qui sont dans une large mesure indépendantes du matériau et des techniques d’écriture utilisées. Cela vaut notamment pour la « méthode de composition avec douze sons » fondée sur la confection préalable d’une « série » : jusque dans la dernière période, cette méthode reste une façon de procéder parmi d’autres, et il est frappant de voir que la technique sérielle qui y est mise au point sous une forme particulièrement élaborée est susceptible de mutations diverses quand le compositeur est amené à travailler non plus avec l’échelle des douze notes, mais avec un matériau plus restreint et hiérarchisé, hérité du passé. La première étude est consacrée au monodrame La Main heureuse (1911-1913). La deuxième est centrée sur les Quatre pièces pour chœur mixte op. 27 (1925). La troisième est consacrée à un ensemble d’œuvres pour chœur a cappella allant des Trois Volkslieder de 1928 à Dreimal tausend Jahre op. 50a de 1949, en passant par les Six pièces pour chœur d’hommes op. 35 (1929-1930). L’ouvrage se termine par une réflexion sur les enjeux liés au judaïsme chez Schönberg.";1;2020;"Éditions Contrechamps";"content?id=wKPsDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";45
142;"Le libre arbitre";"Jean-Baptiste Guillon";5.99;"Sommes-nous libres et moralement responsables ? L’idée de liberté ne suppose-t-elle pas de postuler dans la trame des événements du monde une forme d’indéterminisme ? Un tel indéterminisme est-il compatible avec les données des sciences contemporaines ? Est-il seulement intelligible ? Le grand débat sur le libre arbitre est presque aussi vieux que la philosophie. Un tel héritage bimillénaire invite bien entendu à s’instruire des thèses et des arguments du passé. Mais cet héritage ne doit pas pour autant nous dissuader de reprendre la controverse pour elle-même, à nouveaux frais et en fonction des connaissances contemporaines. Le présent volume s’inscrit dans cette volonté d’aborder la question du libre arbitre dans une perspective contemporaine. Cette approche contemporaine de la question, qui était encore celle de Sartre naguère, a été moins représentée dans le paysage français ces quarante dernières années, alors qu’elle connaissait dans d’autres pays des développements considérables. Dans les pays anglo-saxons en particulier, alors que le débat sur le libre arbitre semblait avoir été définitivement clos depuis Hobbes et Hume par un large consensus « compatibiliste », les années 1970-1980 ont vu réapparaître une controverse extrêmement animée où l’on a pu retrouver à peu près toute la variété de positions qui avait existé aux autres époques de l’histoire de la philosophie. La discussion contemporaine sur le libre arbitre, dont certains des participants les plus éminents sont également contributeurs de ce volume, n’offre donc pas l’homogénéité ou le consensus d’une « époque », mais se présente au contraire comme une mosaïque de positions qui tirent souvent leur valeur dialectique et leur raffinement argumentatif de leur confrontation aux autres positions actuellement défendues. Pour y voir plus clair dans cette variété de positions, il est commode de recourir à l’opposition traditionnelle entre « conceptions compatibilistes » du libre arbitre et « conceptions incompatibilistes ». Les conceptions compatibilistes soutiennent que le libre arbitre est en réalité compatible avec le déterminisme causal, de telle sorte qu’il n’y a nullement à s’inquiéter d’une éventuelle preuve du déterminisme par la science. Les conceptions incompatibilistes au contraire (qui font l’objet d’un retour en force depuis une quarantaine d’années) défendent par divers arguments l’intuition selon laquelle le déterminisme nous priverait du libre arbitre.";1;2017;"Collège de France";"content?id=CWNEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";36
143;"On la trouvait plutôt jolie";"Michel BUSSI";15.99;"Du désert sahélien à la jungle urbaine marseillaise, en quatre jours et trois nuits... Un suspense renversant et bouleversant. ' – Qu'est-ce qui ne va pas, Leyli ? Vous êtes jolie. Vous avez trois jolis enfants. Bamby, Alpha, Tidiane. Vous vous en êtes bien sortie. – Ce sont les apparences, tout ça. Du vent. Il nous manque l'essentiel. Je suis une mauvaise mère. Mes trois enfants sont condamnés. Mon seul espoir est que l'un d'eux, l'un d'eux peut-être, échappe au sortilège. Elle ferma les yeux. Il demanda encore : – Qui l'a lancé, ce sortilège ? – Vous. Moi. La terre entière. Personne n'est innocent dans cette affaire. ' Du désert sahélien à la jungle urbaine marseillaise, en quatre jours et trois nuits... Un suspense renversant et bouleversant.";1;2017;"Presses de la Cité";"content?id=SqEvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";0
144;"Le Voyage en Grèce";"Raymond Queneau";17.99;"Ce recueil réunit des articles parus entre 1930 et 1940 dans des revues dont quelques-unes sont oubliées ou introuvables. Il s'organise autour d'un voyage fait en Grèce en 1932. L'accent n'est pas ici porté sur le langage comme dans Bâtons, chiffres et lettres, mais sur l'existence même de la littérature. En appendice, Errata revient sur la première de ces questions.";1;2014;"Editions Gallimard";"content?id=UK7rAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";72
145;"L'au-delà en question";"Jean-Jacques Charbonnier";6.49;"Les révélations stupéfiantes d’un médecin et d’une médium... L’au-delà et le monde des Esprits sont un des plus grands mystères de l’humanité ; un mythe pour certains et une réalité pour d’autres. Cet ouvrage donne des réponses concrètes à la plupart des questions classiques posées à ce sujet. Avec deux approches totalement différentes, une médium réputée et un scientifique mondialement reconnu pour ses recherches sur l’après-vie donnent des informations claires et complémentaires sur tous ces sujets tabous. Et celles-ci sont époustouflantes car elles bouleversent tous nos paradigmes sur la mort et le fonctionnement de la conscience.";1;2019;"Pygmalion";"content?id=ZHWKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";39
146;"Écrire l'histoire des femmes et du genre";"Françoise Thébaud";13.99;"Les femmes ont-elles une histoire et comment l'écrire ? Qu'est-ce qu'une histoire du genre et quels sont ses apports ? Bribes d'une thèse d'histoire culturelle, échappées d'ego-histoire, manifeste de défense et illustration d'un champ de recherche, Écrire l'histoire des femmes et du genre est d'abord le récit d'une aventure intellectuelle qui mobilise depuis plus de trois décennies un nombre croissant d'historiens et d'historiennes, en France comme à l'étranger. À partir d'exemples pris essentiellement en histoire contemporaine, cet ouvrage tente de faire comprendre les origines culturelles et politiques d'une histoire des femmes avant d'en présenter les développements – d'une histoire au féminin soucieuse d'émancipation et de remémoration à une histoire du genre, plus complexe et plus globalisante. Ce faisant, il pose des repères méthodologiques et propose une lecture critique de l'historiographie française, afin de jeter les bases d'une mémoire disciplinaire, d'alimenter un débat sur les modes d'approches et les axes de recherche, de susciter une confrontation fructueuse avec les historiographies étrangères. Réédition largement complétée d’Écrire l’histoire des femmes publié en 1998, cet ouvrage offre aux lecteurs d’aujourd’hui une vue panoramique d’un des laboratoires les plus fascinants de la discipline historique.";1;2017;"ENS Éditions";"content?id=3IspDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";40
147;"Vanina Vanini - Le Coffre et le Revenant";"Stendhal";2.49;"En Italie, la belle princesse romaine Vanina Vanini met sa vie en danger pour un jeune révolutionnaire... En Espagne, c’est le fougueux don Fernando qui brave, pour revoir sa fiancée, son terrible rival don Blas, le directeur de la police de Grenade ! Dans ces deux nouvelles, les passions se mêlent et s’opposent : l’amour, qui défie le pouvoir, en paie le prix. Création Studio Flammarion Illustration : Casajordi © Flammarion © Flammarion, Paris, 1996. Édition revue, 2014.";1;2014;"Flammarion";"content?id=nYlmBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";4
148;"L'affaire Lady Alistair";"Nancy Springer";10.99;"Ceux qui disent que Sherlock Holmes est le meilleur détective du monde ignorent encore l'existence de sa sœur : Enola Homes ! Deuxième enquête pour Enola Holmes : retrouver une jeune lady disparue dans les dangereux bas-fonds de Londres... Londres, 1889. Enola Holmes, sœur du célèbre Sherlock, ayant échappé à la vigilance de ses frères, a ouvert sous une fausse identité un cabinet de ' Spécialiste en recherches, toutes disparitions '. Son premier client : le Dr. Watson en personne !... Il cherche précisément à retrouver la piste d'Enola, qu'il ne reconnaît pas . Si Enola ne peut aider Watson, elle s'intéresse à un autre cas qu'il lui mentionne : la disparition de la jeune fille d'un baronet, Lady Cecily Alistair, une adolescente loin d'être bien comme il faut... -";1;2013;"Nathan";"content?id=jp_-QFlIIkcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";21
149;"L'écriture comme un couteau";"Annie Ernaux";5.49;"« Tout au long de cet entretien avec Frédéric-Yves Jeannet, je n'ai eu comme souci que la sincérité et la précision, celle-ci se découvrant plus difficile à obtenir que celle-là. Il n'est pas aisé de rendre compte, sans l'unifier ni la réduire à quelques principes, d'une pratique d'écriture commencée il y a trente ans. D'en laisser percevoir les inévitables contradictions. D'apporter des détails concrets sur ce qui se dérobe le plus clair du temps à la conscience. Ce qui assemble les phrases de mes livres, en choisit les mots, c'est mon désir, et je ne peux l'apprendre aux autres puisqu'il m'échappe à moi-même. Mais il me semble pouvoir indiquer la visée de mes textes, donner mes « raisons » d'écrire. Qu'elles relèvent de l'imaginaire n'enlève rien au fait qu'elles jouent réellement sur la forme même de l'écriture. J'espère simplement avoir réussi à exprimer quelques vérités individuelles et provisoires - révisables assurément par d'autres - sur ce qui occupe beaucoup ma vie. » Annie Ernaux";1;2003;"Stock";"content?id=hKKGtgGqsvIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";5
150;"Les disparues de Vancouver";"Elise Fontenaille";6.49;"« Pourquoi sortir l’affaire des disparues de Vancouver au moment des Jeux Olympiques ? parce qu’elle en est le négatif absolu ... D’un côté, les cimes, la blancheur, la glace, l’exploit, la vitesse, les corps vainqueurs, sublimés, venus du monde entier, ce que Vancouver veut montrer au monde, une image rêvée...De l’autre, la noirceur, un gouffre au cœur de la ville – le downtown eastside – les corps vaincus, prostitués, détruits, drogués, les Indiennes – ce sont en effet les trois-quarts des filles de Skid Row - l’échec, la mort, tout ce que l’on voudrait cacher. Le monde entier va parler de Vancouver, en février 2010 : Les Disparues de Vancouver, c’est une autre façon de parler de cette ville, à travers ce fait-divers terrifiant, qui est avant tout un fait de société, glaçant, révélateur du sort que l’Amérique du Nord réserve à ses Indiens... On peut parler d’un génocide, Les Disparues de Vancouver sont une métaphore de ce massacre, sur lequel l’Amérique s’est bâtie, du nord au sud. Affaire qui continue d’ailleurs, puisque d’autres filles ont disparu du downtown eastside, neuf à ce jour, depuis l’arrestation de Pickton le boucher ». E.F.";1;2010;"Grasset";"content?id=imzLzy-y_noC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";0
151;"Le défroisseur d'âmes";"Pierre Yonas";11.99;"Vous avez parfois l'impression d'apercevoir un être cher pourtant disparu ? Il vous est arrivé d'entendre des pas dans la maison alors que vous êtes seul ? Ou bien vous ressentez une présence inexpliquée dans certains lieux ? Rien d'anormal à cela, ce sont simplement des manifestations du « monde subtil ». Dans cet ouvrage, Pierre Yonas, médium aux capacités révélées dès l'enfance, nous aide à comprendre ces phénomènes. Il raconte ses propres expériences et explique comment s'établissent les contacts avec les défunts, où vont les âmes après la mort, le rôle de nos « guides »... Faisant table rase des idées reçues sur le métier de médium, ce livre dévoile les différentes méthodes permettant de comprendre ce que veulent communiquer nos lumineux défunts depuis l'au-delà. Un message d'espoir qui nous incite à ouvrir, sans peur, les portes de l'invisible.";1;2019;"Ideo";"content?id=j62MDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";80
152;"Fausses routes";"Sophie Laurin";13.99;"Juillet 2007. L’été s’annonce ennuyant pour Marjorie. Pendant que sa meilleure amie Sara est partie en road trip avec l’espoir inavoué de déclarer son amour à Sébastien, Marjorie, elle, contemple le désert qu’est sa vie amoureuse et tue le temps en compagnie de son ami Jean-Philippe. À 21 ans, Marjorie est à la croisée des chemins, là où se rencontrent la vie étudiante et la vie adulte. Si ses ambitions professionnelles sont claires, une question demeure: quand vivra-t-elle un amour réciproque ? Elle ignore encore que la prochaine année lui réserve son lot de surprises, puisque la voie qu’elle finira par emprunter ne sera peut-être pas celle qu’elle avait d’abord envisagée. Un œil sur la route, l’autre sur le rétroviseur, Marjorie se demande pourquoi toutes ses histoires d’amour finissent dans un cul-de-sac. Bien plus qu’un roman sur la recherche de l’âme sœur, Fausses routes est une histoire d’amitié, celle qui unit Sara et Marjorie depuis qu’elles ont l’âge de jouer à Téléphone Secret et qui dure encore à l’époque des CD gravés et des derniers clubs vidéo.";1;2021;"Éditions Hurtubise";"content?id=aHswEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";72
153;"Le Test";"Stéphane Allix";7.99;"Lorsque mon père est décédé j'ai placé des objets dans son cercueil. Je n'en ai parlé à personne. Puis j';ai interrogé des médiums qui disent communiquer avec les morts. Découvriront-ils de quels objets il s'agit ? C'est le test. Peut-on parler avec les morts ? Des femmes et des hommes le prétendent et en font même profession. Des milliers de gens les consultent. Ces capacités sont-elles réelles ou sont-elles une illusion ? Pour répondre à ces interrogations, Stéphane Allix a interrogé six médiums. Les résultats sont stupéfiants et confirment ce que révèlent les recherches scientifiques menées sur ce sujet : la vie après la mort est aujourd'hui une hypothèse rationnelle. Comment devient-on médium ? Est-ce un don ou une malédiction ? Comment décrire ce qui se passe lors de la mort ? Où va-t-on après ? Consulter un médium peut-il aider au processus de deuil ? Comment éviter les charlatans ? Autant de questions que ce livre aborde, nous entraînant à la découverte d'une réalité à la fois simple et vertigineuse : il est possible de communiquer avec ceux que nous aimons au-delà de la mort.";1;2015;"Albin Michel";"content?id=zEvJCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";23
154;"Industrie, culture, territoire";"Sylvie Daviet";13.99;"Dans un contexte marqué par les délocalisations, cet ouvrage nous livre un examen critique de la société 'post-industrielle', croisant de façon inédite les concepts d'industrie, de culture et de territoire. L'intérêt porté aux savoir-faire et à leur transmission, aux processus d'innovation comme aux mythes fondateurs de la culture industrielle, met en relief le rôle central des acteurs dans la dynamique des activités des espaces. La redéfinition de l'industrie par le territoire, loin de s'enfermer dans la survalorisation du local, trace au contraire la voie d'une géographie de l'entreprise où territorialité et culture ouvrent une lecture explicative de la mondialisation.";1;2005;"Editions L'Harmattan";"content?id=b-P424cayPUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";32
155;"Ceux d'à côté";"Laurent Mauvignier";8.99;"Parce que Claire, sa voisine, lui a raconté ce que c’est de revivre sa propre mort chaque nuit, d’entendre un souffle d’homme derrière soi et de sentir sur son corps son odeur à lui, des semaines après. Et parce que s’approprier l’histoire des autres c’est au moins commencer à vivre un peu, alors Catherine attend, le jour, la nuit, cet homme-là. L’homme qui marche dans la ville et rôde vers la piscine, dans les rues, parfois jusqu’à chez elle.";1;2012;"Minuit";"content?id=tEdSCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";100
156;"Ils portaient l'écharpe blanche";"François Bayrou";5.99;"Mettant fin, provisoirement, à quelque trente-six ans (1562-1598) de guerres de religion, l'Edit de Nantes fut signé par Henri IV le 13 avril 1598. Quatre cents ans, donc. Inspiré par divers édits précédents, l'Edit de Nantes est d'une grande originalité dans l'histoire de la France, voire de l'Europe : les protestants obtenaient la liberté de conscience, la liberté de culte et l'égalité civile avec les catholiques. Pour la première fois, dans l'Histoire, les sujets d'un pays n'étaient plus tenus d'épouser la religion de leur chef. François Bayrou, biographe attentif d'Henri de Navarre et acteur politique de premier plan, voit là la naissance de la laïcité. Malgré la guerre (la Saint-Barthélemy ne fit pas moins de 30 000 morts), le quasi-éclatement du royaume de France, les tentations sécessionnistes de certaines provinces et les interventions de puissances étrangères, Henri IV imposait le retour à la paix par une démarche qui ressemble fort à un premier pas vers la démocratie.";1;2014;"Grasset";"content?id=vFCIWrQzynQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";76
157;"L’appel de l’étranger";"Lucile Arnoux-Farnoux";10.99;"1886, l’année de la signature de la Convention de Berne pour la protection des œuvres littéraires et artistiques - y compris les œuvres traduites - est-elle une année décisive pour les traductions en langue française ? C’est à cette question que cet ouvrage tente de répondre. En 1886 le paysage littéraire français est transformé par l’irruption du roman russe, à la suite de l’essai d’E. de Vogüé, mais aussi par l’introduction du vers libre, grâce à la traduction de Walt Whitman par Laforgue. Le roman américain fait une percée dans la littérature pour la jeunesse, avec la première traduction de Huckleberry Finn de M. Twain. En sciences humaines paraît la première traduction « laïque » de la Bible, tandis que la littérature indienne classique, qui avait fait le bonheur des écrivains romantiques, devient objet d’études savantes. Quant aux traductions d’historiens étrangers, elles suivent les fluctuations de la politique extérieure de la France. Dans les pays francophones, la situation est contrastée : la Suisse est encore sous l’emprise des éditeurs français, alors que les symbolistes belges se révèlent de grands traducteurs, notamment des littératures germaniques. Au Canada, la traduction est affaire d’État, et même de vie ou de mort : un traducteur sera pendu pour avoir défendu avec trop de passion les intérêts de la communauté francophone... En croisant données bibliométriques et études de cas, L’Appel de l’étranger dresse le bilan d’une année foisonnante, caractéristique des évolutions d’une fin de siècle très cosmopolite.";1;2018;"Presses universitaires François-Rabelais";"content?id=kOd3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";9
158;"La cérémonie d'hiver";"Elise Fontenaille";5.99;"Pour Eden, une jeune Indienne de Vancouver, l’heure de la vengeance a sonné, après la mort de Violett, la femme qui l’a élevée. Et son instrument de vengeance sera son aigle femelle, Sky. Qui saura arrêter la tueuse à l’aigle ? Peut-être Mary, flic et anthropologue, fascinée par le couple que forment Eden et Sky... Un petit polar enlevé, dans la veine de 'Chasseur d’orages'.";1;2017;"Éditions du Rouergue";"content?id=1uiRDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";27
159;"Europe et traduction";"Michel Ballard";10.99;"La traduction est un phénomène central pour l’Europe telle qu’elle est en train de se construire : elle assure les échanges entre Etats sans qu’une langue commune donne l’impression d’une hégémonie quelconque ou d’un abandon des identités nationales. Cet attachement à la notion d’identité tout en ménageant les échanges culturels est une constante de l’histoire européenne et ces échanges passés, fondés sur la traduction, font que la construction de l’Europe ne se réduit pas à la création d’une entité économique et politique : elle possède une dimension humaine et culturelle spécifique, qui lui donne son âme. Ce colloque a abordé ces deux aspects du rôle de la traduction en Europe : dans le passé et aujourd’hui comme facteur de découverte mutuelle et ferment culturel ; de manière plus spécifique aujourd’hui comme facteur d’équilibre et instrument de communication au sein des institutions. Le colloque a rassemblé des spécialistes de nombreux pays européens ou observateurs jetant un regard sur l’Europe. Les textes partent de la traduction en Irlande au Moyen Age pour aboutir aux traducteurs allemands de Roumanie au XIXe siècle. La dernière partie du colloque tente de faire le point sur divers aspects de la recherche en matière de traductologie ainsi que sur la formation des traducteurs.";1;2020;"Artois Presses Université";"content?id=-3ftDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";76
160;"Fantastique-fiction";"Charles Grivel";6.99;"Comme on dit science-fiction. Pour indiquer que les objets ou les faits dont il s’agit n’ont pas d’existence à part entière. C’est en effet entre absence et présence, sur la page ou sur l’écran d’une image, que le fantastique se joue. Des objets et des faits interviennent comme ils ne devraient pas. Ils suscitent l’effroi, puis, par on ne sait quelle magie narrative, visuelle, ils disparaissent. Ce va-et-vient de l’invisible au visible, du visible à l’invisible est toute la matière de ce livre. Ce travail puise aux meilleures sources : grands auteurs, auteurs peu connus, ouvrages populaires, littératures françaises et étrangères. Il a recours aux icônes et aux mirages que suscite l’écran. Il offre, successivement, une théorie de la Fantastique-fiction, des explications sur les mécanismes de dédoublements et les évanescences, sur les lieux fantastiquement propices, sur le monstre, sur le spectre, sur ce qui n’a pas de nom. Il inclut dans son propos les merveilles et les « cadavres exquis ». A tant d’effervescence, il découvre une source : l’écriture.";1;1992;"FeniXX";"content?id=ZnWSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";22
161;"Siège 7A";"Sebastian Fitzek";7.49;"Pour sauver sa fille, un psychiatre doit provoquer le crash de l'avion à bord duquel il a pris place. Le douzième suspense de Sebastian Fitzek, numéro 1 du thriller en Allemagne. IL EXISTE UNE ARME LÉTALE QUE CHACUN PEUT EMBARQUER SANS ENCOMBRE À BORD D'UN AVION. AUCUN CONTRÔLE AU MONDE NE PEUT LA DÉTECTER... Un vol de nuit Buenos Aires-Berlin. Une passagère fragile psychologiquement. Un psychiatre contraint de la manipuler afin de provoquer le crash de l'appareil. À défaut, sa fille, la seule famille qu'il lui reste, mourra...";1;2020;"L'Archipel";"content?id=ZaLLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";95
162;"Formes brèves";"Collectif";9.99;"Les formes brèves sont aujourd'hui un mode de communication et d'expression artistique incontournable, omniprésent dans notre culture mais en même temps méconnu. Mouvant et polymorphe, ce format relève aussi bien de l'art que de la littérature, des sciences de la communication, du cinéma, de l'audiovisuel et de nombreux autres domaines. Il n'a pas pour autant fait l'objet que d'un petit nombre de publications interdisciplinaires. Les textes rassemblés ici selon une perspective interdisciplinaire et internationale envisagent donc les formes brèves dans leur diversité, d'un point de vue diachronique tout autant que synchronique. Ils permettent de nourrir non seulement des analyses ciblées sur ces différents types de formes brèves (au cinéma, en littérature, dans l'art, dans la communication, etc.), mais aussi une réflexion théorique sur les questions de définitions, les enjeux, la modernité, ou encore sur la transgénéricité et la transmédialité qui caractérisent souvent ces formes brèves.";1;2020;"Presses universitaires de Rennes";"content?id=4evbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";10
163;"Clefs pour l'imaginaire ou l'Autre Scène";"Octave Mannoni";9.99;"Vingt essais divers, qui traitent de littérature (Mallarmé, Rimbaud, Salinger, Henry James, Proust), de théâtre (problème de l'illusion théâtrale), de la linguistique saussurienne et de textes psychanalytiques freudiens. Un seul mouvement, une seule méthode : pour déchiffrer l'Imaginaire, s'introduire sur l'Autre Scène où c'est le jeu du signifiant qui gouverne. Un jeu que ne saurait, par ailleurs, exposer une linguistique livrée à elle-même : sur certaines fonctions signifiantes aussi, l'enseignement de la psychanalyse est irréductible à tout autre.";1;2016;"Média Diffusion";"content?id=LBKJCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";22
164;"Palimpsestes. La littérature au second degré";"Gérard Genette";10.99;"Un palimpseste est, littéralement, un parchemin dont on a gratté la première inscription pour lui en substituer une autre, mais où cette opération n'a pas irrémédiablement effacé le texte primitif, en sorte qu'on peut y lire l'ancien sous le nouveau, comme par transparence. Cet état de choses montre, au figuré, qu'un texte peut toujours en cacher un autre, mais qu'il le dissimule rarement tout à fait, et qu'il se prête le plus souvent à une double lecture où se superposent, au moins, un hypertexte et son hypotexte - ainsi, dit-on ,l'Ulysse de Joyce et l'Odyssée d'Homère. J'entends ici par hypertextes toutes les œuvres dérivées d'une œuvre antérieure, par transformation, comme dans la parodie, ou par imitation, comme dans le pastiche. Mais pastiche et parodie ne sont que les manifestations à la fois les plus visibles et les plus mineures de cette hypertextualité, ou littérature au second degré, qui s'écrit en lisant, et dont la place et l'action dans le champ littéraire - et un peu au-delà - sont généralement, et fâcheusement, méconnues. J'entreprends ici d'explorer ce territoire. Un texte peut toujours en lire un autre, et ainsi de suite jusqu'à la fin des textes. Celui-ci n'échappe pas à la règle : il l'expose et s'y expose. Lira bien qui lira le dernier. G. G.";1;2014;"Média Diffusion";"content?id=--MLCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";110
165;"Musique visible";"Dieter Schnebel";9.99;"Dieter Schnebel (1930-2018), compositeur, théologien et essayiste, fut une personnalité marquante de l’avant-garde musicale des années 1950-1960. Mais ses réflexions se distinguent de celles de ses contemporains aussi bien par leurs orientations que par leur style : en bon dialecticien, Schnebel insiste sur le rapport au passé à l’époque de la rupture avec celui-ci, tout en composant des œuvres radicales, et il défend l’idée d’une réinterprétation créatrice de la tradition dans un contexte marqué par le postmodernisme. Comme compositeur et comme penseur, Schnebel s’est placé au croisement de courants divergents entre lesquels il a tissé des liens multiples : dans ses écrits, les noms de Cage et de Kagel côtoient ceux de Schubert, Schumann et Debussy. Cette position esthétique ouverte l’a conduit à porter un regard original sur la musique de son époque comme sur celle du passé, à l’écart des critères et des hiérarchies traditionnels. Mais Schnebel était aussi théologien, ce qui l’amena à réfléchir sur la question de la musique sacrée et à développer une relation privilégiée à la philosophie. Ses textes, d’une grande rigueur de pensée et d’une grande finesse d’esprit, reflètent une position que l’on peut qualifier de « critique », au sens d’Adorno, auquel il a consacré un essai magistral traduit dans cet ouvrage. Sa pensée, qui va toujours à l’essentiel, est traversée par « l’esprit de l’utopie » et par le « principe espérance » empruntés à Ernst Bloch. Le choix des textes a été réalisé avec le compositeur lui-même, peu avant sa brusque disparition. C’est la première publication en français d’un ensemble de ses écrits. Ils révèlent une vision originale aussi bien sur la Musique Nouvelle à laquelle il contribua activement que sur la musique du passé.";1;2020;"Éditions Contrechamps";"content?id=vKPsDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";22
166;"Cherokee";"Jean Echenoz";7.99;"prix Médicis 1983";1;2012;"Minuit";"content?id=XkNSCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";18
167;"Seuls";"Laurent Mauvignier";9.49;"Pauline est revenue. En attendant de trouver un appartement, elle s’est installée chez Tony, comme lorsqu’ils étaient étudiants. Tony raconte à son père que rien n’a changé : il fait toujours semblant de n’être pas amoureux d’elle, et elle ne s’aperçoit de rien. Mais quand Tony part sans prévenir personne, c’est à Pauline que son père va demander de l’aide. Et cette fois, il faudra bien que tout soit dit.";1;2012;"Minuit";"content?id=QkZSCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";0
168;"Le Postmodernisme ou la logique culturelle du capitalisme tardif";"Fredric Jameson";8.49;"Première traduction de l'ouvrage majeur du théoricien américain Fredric Jameson Dans ce texte fondateur de l'analyse du Postmodernisme, il étudie le passage du modernisme à cette nouvelle logique culturelle dominante, propre au capitalisme tardif, à partir d'exemples : peinture, architecture, littérature, photographie, cinéma ou vidéo. Ce livre, qui s'inscrit dans la tradition des cultural studies anglo-saxons, est une référence indispensable pour tous ceux qui s'intéressent à l'évolution de l'analyse de la pensée.";1;2017;"Beaux-Arts de Paris Éditions";"content?id=JsBDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";36
169;"Les belles infidèles";"Georges Mounin";12.99;"En écrivant Les Belles Infidèles il y a plus de soixante ans, Georges Mounin a voulu proposer, selon ses propres termes, « une défense et illustration de l’art de traduire ». II a su réaliser son projet avec une rigueur de démonstration peu commune, une documentation historique exemplaire et, par-dessus tout, une vision magistrale de la traduction. Non seulement cette vision envisage tous les aspects fondamentaux de la traduction, mais elle réussit à faire converger différents points de vue vers la solution des problèmes: celui du philologue, de l’historien et du linguiste, comme celui des traducteurs eux-memes et celui des théoriciens de la traduction. « Il ne s’agit pas de démontrer que la traduction soit facile, ni toujours à tout coup possible et parfaite du premier coup. Ce serait déjà beau d’avoir combattu cette maladie qui paralyse les traducteurs eux-mémes avant d’avoir commnencé leur tâche : la conviction séculaire qu’ils entreprennent une tâche théoriquement impossible », écrivait l’auteur. Cet ouvrage constitue une réédition d’un grand classique de la traductologie.";1;2020;"Presses Universitaires du Septentrion";"content?id=v14FEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";9
